Temario; Desarrollo; Aporte; Charlas Buenas; Charlas Malas; Sugerencias;

Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;Filiacion;;Reunir a los bioq de la provincia para intercambiar experiencias y problematicas;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;la de Insuficiencia Renal;Insumos;actualizarnos sobre temas bioquímicos aplicables a la tarea diaria generar un espacio de encuentro entre colegas de la red de laboratorio, Intercambiar realidades para enriquecernos mutuamente;SI;temas: Control de Calidad en quìmica clìnica,              Etapa pre-analìtica               
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;Me gustaron las charlas de renal, hemostasia, ETS. Son muy aplicables a mi tarea diaria y los expositores fueron muy claros.  Pertenezco a un L1 y me interesa mucho porder resolver la mayor cantidad de determinaciones que se puedan. Además se debería plantear la necesidad de coagulómetros en los L1, es un equipamiento que no es caro y cambiaría mucho la calidad del resultado.;En general me gustaron todas, de las mencionadas anteriormente fueron de las que más información pude rescatar. Me parece muy importante poder conocer los distintos trabajos que están realizando nuestro colegas en los distintos hospitales y me parece que además es un estímulos para el resto.;El objetivo para mi es fundamentalmente tener el espacio para juntarnos, poder compartir experiencias. Las charlas de actualización son muy útiles para todos, pero además me parece importante que haya un espacio para hablar de nuestra profesión y de las cosas que nos pasan. A veces es difícil plantearlo porque se requiere de mucha organización para respetarnos unos a otros y ademas respetar los tiempos...pero me parece que ese es un punto fundamental a tener en cuenta y plantearlo para aprender organizarnos.;SI;Es un poco de lo enterior, poder tener un espacio para   poder hablar de temas que tienen que ver con el desarrollo de nuestra profesión.
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;la de hemostasia en el ambarazo , las de investigación.;;son varios. actuializarnos, refrescar conocimientos para la mejora de la calidad del servicio que prestamos, y la de sociabilizar de manera de acortar distancias entre los componentes de la red provincial.;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Hemostasia durante el embarazo y neonato.Importancia de la vigilancia de agua para consumo en salud pública. Marcadores precoces de enfermedad renal: Aspectos preanalíticos. Formas de presentación de las enfermedades de transmisión sexual. Morfología eritrocitaria y su importancia en el diagnóstico de las anemias. ;Todas tuvieron su aporte aunque no lo haga en el laboratorio;informar, capacitación continúa, diagramar, incluir, aportar, organizar, resolver problemáticas, integrar todas las incumbencias bioquímicas;NO;cómo resolver problemas de falta de instrumental y personal en hospitales de baja complejidad
Interesante;Se respetaron los tiempos y fueron amenas;Las charlas no fueron acordes a mi tarea diaria;AS de ITS pq ayudan al trabajo diario;la de agua, pq no forma parte de la labor asistencial que realizamos;Reunirse con bioquimicos de toda la provincia, hablar acerca de los temas que afectan a la red y coordinar mejor. Seria oportuno que el momento de las jornadas, la red diga como vamos en el sistema y cual es el rumbo que tomamos los laboratorios, sino pareciera que funcionamos independientes y que no formamos parte de una red. Es un buen momento replantear la red.;NO;Hablar acerca de los cambios que hubieron en la red y que los bioquimicos que trabajan en hospitales del interior cuenten sus experiencias. Seria oportuno que los jefes de los laboratorios asistan, en la medida de lo posible, y comenten cuales son los lineamientos de los mismos.
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Todas las charlas fueron muy lindas, me atraen más las de actualización  en lo relacionado a las tareas diarias de nuestros laboratorios. De todos modos siempre esta bueno conocer y actualizarnos en temas que no desarrollamos en nuestros laboratorios;Todas me gustaron;Creo que el objetivo debería ser  juntarnos y compartir. Aprovechar este  espacio que hemos creado, que es importante para capacitarnos, pero tb seria bueno charlar temas nuestros.Es uno de los pocos momento en el año que nos juntamos.;SI;Estan muy buena las charlas cortas de 15-20 min
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Todas fueron muy interesantes , ya que a pesar de no ser la tarea diaria, te refresca y actualiza conocimientos, o te aporta temas nuevos. ;;actualización continua, interiorizarnos de problemáticas comunes a diferentes puntos de la provincia, ;SI;me gustaría que tomaran temas de microbiología. 
Interesante;Se respetaron los tiempos y fueron amenas;No hubo aportes relevantes para mi tarea diaria;Hemostasia en el embarazo, Marcadores renales , presentación de las enfermedades de transmisión sexual;Todas las charla de las cuales participe me gustaron;Creo que el objetivo principal de las jornadas es conocer a nuestros colegas,  saber las realidades de otros laboratorios de la provincias, poder acordar sobre diferentes situaciones  que se presenta en nuestra tarea  diaria y mantenernos actualizados  sobre las practicas que realizan los laboratorios de referencia y el funcionamiento de redes provinciales.;SI;Me gustaría que se armara un debate sobre nuestra competencia como profesional bioquímico, y pensar en estrategia para revalorizar nuestra profesión y  reconocimiento especialidades.
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;La de HLA, siempre es un tema muy innovador ;Todas tienen interes para mi;Actualizacion, conocimiento del trabajo en red, homogéneizar practicas y encontrarse y discutir con pares;SI;Mas temarios
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;Todas interesante;Ninguna;Actualizarnos ;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;Ets ;Mieloma, falta de desarrollo preparado ;Actualización en temas de salud pública de ingerencia bioquímica ;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;Solo fui un solo día! Pero fueron muy interesantes todas!  Principalmente el trabajo que están haciendo en Heller. ;La de redes de abastecimiento. Aunque se dijeron muchas cosas, no les quedaron a la mayoría y siguen preguntando lo mismo al día de hoy. ;El objetivo es lograr  actualización, conocer lo que se hace en la provincia (trabajos de investigación. Etc)  y poder ponerle caras a los nombres  de los compañeros bioquímicos. ;SI;no tanto microbiología o ponerlas por día. Todo junto un día de microbiología y el resto otro. 
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;La que dio la gente del Heller el viernes, porque fue interesante y amena, participativa y diferente ;;Juntarnos todos una vez al año para conocernos y poder actualizarnos sobre que se hace y como en la diferentes hospitales, ya que somos una red de laboratorios, lo que significa que somos un equipo de salud y deberíamos actuar como tal.;SI;
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;ITS, función renal, streptococcus agalactiae;Insumos;Lugar de encuentro y reflexión de cómo estamos trabajando...Actualización de nuevas formas de trabajo con un marco teórico.;SI;Destinar dos horas a una mesa redonda con el fin de que las personas del interior nos comenten cómo estamos trabajando desde la parte central ....y que ven ellos que deberíamos mejores... Para un mejor flujo de información...Tema para el proximo año: microbiología... Urgencias....error preanalitico
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;Hemostasia en embarazadas e hidatidosis.;La charla de insumisión, no me aportó nada;Actualizamos, unificar criterios, entender otras realidades.;SI;
Interesante;Se respetaron los tiempos y fueron amenas;No hubo aportes relevantes para mi tarea diaria;ITS , renal y coagulación en embarazo y RN, porque es más aplicable en mí laboratorio;Las referidas a la técnica de PCR pero por el simple hecho de que no se realizan en mí laboratorio;Actualización y puesta en común de temas y situaciones que nos permitan realizar nuestra tarea de manera responsable y organizada con un criterio similar dentro de los laboratorios de toda la provincia;SI;Me interesaría poder trabajar en la organización y situación actual de los laboratorios para que todos podamos brindar un servicio de calidad
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Todas, siempre hay algo para aprender o refrescar. Y es muy bueno saber que se hace en otro lugar de la provincia.;;Intercambio, armonizacion y unificacion de criterios, mejorar en el ambito donde uno se desempeña y conocer lo que se hace en otros lados de la provincia.  Conocer el trabajo de los colegas. Empatia entre pares.;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;;;;SI;
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;Me gustó mucho la charla sobre el sistema y la extracción de datos que dio Gervasio. Creo que se puede sacan mucho provecho.;Siempre todo es interesante, sea de mi tema particular o no.;El objetivo principal es juntarnos, conocernos, achicar las distancias, conocer la realidad de cada uno.;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron conocer el funcionamiento de redes provinciales y otros aspectos de mi tarea que desconocía;;;;NO;
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;La charlas que mas me gustaron fueron las referidas a hemostasia y a enfermedad renal, por estar relacionadas con mi tarea. ;;;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;Es realidad los temas fueron todos muy interesantes..., si tuviera que elegir..podría decir los que  ayudan a mejorar el diagnóstico desde el laboratorio.;No hubo tema que no me gustara.;Generar un espacio de intercambio de conocimientos, de experiencia, de situación y de la realidad actual de nuestra actividad en la provincia.;SI;Que incluya temas como diagnóstico de enfermedades autoinmunes, endócrinas, metabòlicas....
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Hemostasia en el embarazo.ITS.Enfermedad renal.Operativo de transplante. Algunas me parecieron interesantes y otras aplicables en la tarea diaria;;Crear vinculos con demas colegas mas que nada, y ver cuales son las realidades de otros hospitales.;SI;Que tengan mas charlas dirigidas a laboratorios chicos.
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;ITS por la cantidad de casos nuevos y por lo practico de los casos clinicos. Hemostasia emb y Rn actualizaciones;;Reunión con colegas y  actualizacion en temas de la tarea diaria;SI;
Muy interesante;Se respetaron los tiempos y fueron amenas;Me permitieron actualizarme en temas referentes a mi tarea;Todas las charlas fueron interesante y aportaron bastante al trabajo diario  y las que se referían a actividades que no realizamos fueron realmente super aprovechables y felicito a los que las realizan;;Capacitación, lograr ampliar conocimientos  y fundamentalmente  reencuentro y conocer a los  nuevos profesionales  que ingresan al sistema de salud de la provincia;SI;
Interesante;Se respetaron los tiempos y fueron amenas;Me permitieron pensar en mejoras o en reorganizar mi tarea;Hemostasia en el Embarazo y el recién nacido.;N/C.;Considero que el objetivo principal de las Jornadas es compartir las novedades de cada laboratorio de la provincia. Además son un espacio de actualización y capacitación. ;SI;Sería interesante sumar capacitaciones como algún taller en el marco de las  Jornadas. 
